0,1,2,3,4,5,6,7,8,9
(0.015290309228289136+0j),(-0.019602960549088635+0j),(0.044498720446431196+0j),(0.07449125008653681+0j),(0.012741924356907611+0j),(-0.02195531581497927+0j),(0.04410666123544942+0j),(0.0715508060041735+0j),(0.014114131595343814+0j),(-0.024895759897342565+0j),(0.040578128336613464+0j),(0.06821830271082845+0j),(0.016270457255743567+0j),(-0.016858546072216228+0j),(0.04351857241897677+0j),(0.07135477639868262+0j)
(0.04766296196155987+0.00046731441953332326j),(-0.060213910962598205+0.0007625517892901491j),(0.13011722288210015+0.0010162304411176085j),(0.21930828582496498+0.0013386683448914226j),(0.03965231876792791+0.0019756071435789737j),(-0.06579777018524524+0.0005593057010666271j),(0.12813597399899998-0.001803530093802477j),(0.21114123667714813+0.00026803683573983886j),(0.04397017996390329+0.0027653594668861107j),(-0.07576443773948072+0.00035605961284310524j),(0.12084276698985438-0.002654104660195893j),(0.20274499129489765+0.004128775675172252j),(0.04744235141380343+0.0030061957686089618j),(-0.051772131809890855+0.0007017295462038691j),(0.1279173531404724+0.0005593057010666269j),(0.2069577348007415+0.0029661528844873645j)
(0.030477832841111524-0.0010100508540722534j),(-0.04335789290849782-0.0018792266698291816j),(0.07823920762578115+0.003303326746174321j),(0.1268600533607246-0.01460565050199705j),(0.024327707061366503+0.004478404976193203j),(-0.041522362784654904-0.002725836718628468j),(0.0718089735756248-0.005222597104126791j),(0.12962824944860324-0.017359000079515345j),(0.028798101675754594+0.0038220927665993222j),(-0.04979185276847166-0.003342000145187246j),(0.07576087478009395-0.006819132154840801j),(0.13109693071881345-0.002238609758913182j),(0.02518363280328677+0.0044039012494957695j),(-0.03344121366427429-0.0024101454383855594j),(0.07656565932728376+0.0036258035768979126j),(0.1284440542011991-0.0037242243662516787j)
(-0.028896397642606868-0.002218393929110398j),(0.01734238470362741-0.010167505591128825j),(-0.05850628586988889+0.00848431381410648j),(-0.12113463069228134-0.05123360546594441j),(-0.02668338125798394+0.0038477867564486947j),(0.028427520597864075-0.012418575415885131j),(-0.07135566888818223+8.474800896541537e-05j),(-0.09730200121482745-0.056115152353112416j),(-0.025746283874690138-0.0036566112568044156j),(0.034651008542179965-0.013982800465049908j),(-0.05826363529124772-0.0004620010079499134j),(-0.0776986803148797-0.03914500436671227j),(-0.03415472270840976-0.005317509644297969j),(0.02790298679970969-0.013086455078096176j),(-0.06548445424851372+0.0065124503939262696j),(-0.06890124941438786-0.03516178277081784j)
(-0.02058718707387384+0.009763706588409403j),(0.0036726387892233505-0.004956550663012023j),(-0.02527438668424511+0.015474793862526239j),(-0.06063108178374298-0.03725827733780379j),(-0.01767542444131304+0.009233443731974642j),(0.005681339633555504-0.01025751562487863j),(-0.03464354698312622+0.014292745848115662j),(-0.045546515182523346-0.043630373987755655j),(-0.018505530668041975+3.343525580311486e-05j),(0.018592412088188702-0.015511112772417908j),(-0.03746082879969972+0.009138274973550704j),(-0.03137712368012892-0.042717406545450295j),(-0.02344924353560794-0.009567743238181875j),(0.019166827787978444-0.015622036417768393j),(-0.03534206099981595-0.0014480760299044981j),(-0.004232937663851834-0.03583048658781899j)
